benchmark,Kissat_MAB_CoRephase,,,,,Kissat-MAB-rephasing,,,
,arm1(BWO),arm2(BWI),arm3(BWC),arm4(BWF),,arm1(B),arm2(I),arm3(O),arm4(W)
8a7a61a63a718e4dc5aba5426b31c063-satcoin-genesis-UNSAT-18400.cnf,4,4,4,4,,11,12,11,12
8ade10da9731ce31d103c1687ff40a3d-brent_63_0.15.cnf,1,0,0,0,,1,1,1,0
8b797110ff321ee673eab1542069f192-ContextModel_output_8_4_10.bul.dimacs.cnf,20,19,19,19,,23,25,23,25
8bcd3f3e269fa3c9516667b626d61602-TableSymModel_output_8_4_7.bul_.dimacs.cnf,4,4,4,4,,5,8,4,8
8c7477dc33a412514998a2fd6b32dbf5-intervals855.cnf,41,40,40,40,,34,52,42,40
8cf6b81061285343c4f33c51afdb3fbb-minxor128.cnf,8,8,8,8,,12,14,12,12
8cfc8e99d31bcaf18ff3360b08c8521c-sat-bench-trig-taylor6.cnf,5,4,4,4,,8,9,9,8
8d31ec9edeac705ffd1b23f0cc4f3256-ContextModel_output_7_3_9.bul_.dimacs.cnf,5,5,5,5,,2,3,3,3
8d458780fb74c28c01a5fe89990ad521-mchess16-mixed-45percent-blocked.cnf,5,5,5,5,,9,14,6,6
8db36208fc6ce43b4002cf048c549b3f-WS_400_32_90_10.apx_1_DC-AD.cnf,31,29,30,30,,36,55,29,40
8e30bfdb721ca0a20031c79a76f9aa7c-satcoin-genesis-UNSAT-18800.cnf,3,4,4,4,,11,12,11,11
8f7cd9fb4b8852fdf9a21c606724c71a-satcoin-genesis-UNSAT-12300.cnf,4,4,4,4,,12,12,12,12
8fa526d20599ca8c3d613e9066d62e61-sat-bench-trig-taylor2.cnf,2,2,2,2,,5,5,5,5
8fcc57f6c75cb2ac48d19e3038ad3c6c-asconhashv12_opt64_H6_M2-4XKSMr_m1_3_U25.c.cnf,5,4,4,4,,3,6,4,28
909f704d5f4127c1197a086705468624-rbsat-v760c43649gyes10.cnf,1,1,1,1,,3,4,3,4
911cbc796d15eb316d36c82c90fd7d11-c499_gr_2pin_w6.shuffled.cnf,1,0,0,0,,1,1,1,1
91b88d172a08e2a57c189bddff51bfd5-22_1.cnf,17,18,18,18,,18,19,32,27
92387c29e87aa857e84feb301f3d6aff-rbsat-v760c43649gyes5.cnf,1,1,1,0,,3,8,3,4
92c17c00d862668de6e6c45d4eecdc75-combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf,5,6,6,5,,4,11,5,6
92d6795785d35d1dcc42b15dc0e933d0-grid-pbl-0150.shuffled-as.sat05-1347.shuffled-as.sat05-1347.cnf,2,2,2,2,,4,4,5,5
93a87994c03a7752f85d863239555d48-PRP_30_35.cnf,2,3,2,2,,6,7,6,7
945d67baeb7860df648ab6ef4782d5ed-stb_792_333.apx_1_DS-ST.cnf,5,5,5,5,,10,18,10,11
953e9ff735bdf5ada27b0ab2b908b6af-WS_400_24_70_10.apx_1_DC-ST.cnf,11,11,11,11,,13,18,15,17
9631e4082abf03e560b889c5715d3979-PRP_30_41.cnf,2,3,3,3,,2,3,1,1
964162c1faee2c1e3a4dfa4f9c75c34f-php18-mixed-15percent-blocked.cnf,45,27,35,32,,36,77,14,50
965ca988015c9aee5a1a7b2136c1fe5d-os_fwalk_12.cnf,47,34,38,36,,31,98,14,31
96ae6bde39369f75aa975b0f5b74c325-asconhashv12_opt64_H13_M2-NBRdIKEb8MS2W_m3_5.c.cnf,3,3,3,5,,2,30,3,3
96e01064ac3b644143278c21859e201f-brent_51_0.29.cnf,5,4,5,4,,2,3,2,1
97a17306a2882e0fd1aa3981a267df0d-SC23_Timetable_C_473_E_46_Cl_32_D_6_T_50.cnf,23,23,23,23,,28,28,30,28
9811b95bfd5888014d27e6dd384ff502-WS_500_16_90_70.apx_2_DC-ST.cnf,6,6,5,5,,8,16,8,8
98c6da979a0a22d384d465a1da17111e-PRP_100_250.cnf,23,23,24,24,,25,47,25,26
99d134de6323a845a2828596a48bbb1d-php17-mixed-15percent-blocked.cnf,50,24,31,36,,19,106,11,39
9a413c250f82a93d513d4092ba654ee2-asconhashv12_opt64_H4_M2-ldRf_m1_2_U21.c.cnf,2,2,3,4,,3,3,3,27
9c7043290cee8127c3626d8067759267-stb_531_83.apx_2_DC-AD.cnf,10,9,10,10,,13,16,13,18
9de6ddddf7fde06bf2efd955e2bd1a83-SCPC-700-84.cnf,5,3,4,4,,16,24,8,18
9e18c079efdc17ceade5c7a330b507d2-SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,1,2,2,2,,3,3,3,3
9e7f2b92c6e46d03ddcafd798aa80cb6-hash_table_find_safety_size_17.cnf,1,1,0,0,,2,2,1,1
9f3ef12b5b68f92eb9265721ea73bb03-asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,2,2,2,5,,2,2,39,2
9fe43145e48a0ef0096bb72531f1a0e3-16_1.cnf,20,19,19,19,,21,28,26,27
a09a2d7397732447bdcc9651973767b7-TableSymModel_output_6_5_6.bul_.dimacs.cnf,29,28,29,29,,35,38,35,37
a0c7aea176b5a2b65c27c8af7039326b-grs-160-64.cnf,5,6,5,5,,9,12,9,9
a1276d5dcb822aa03806df58fa9ca1c8-grs-128-32.cnf,3,3,4,4,,6,8,7,6
a18b6fbdfee43c007e07dedf15477797-SCPC-700-86.cnf,8,6,7,7,,15,45,9,18
a292411f3f563a47c05a78f8295163dc-hash_table_find_safety_size_26.cnf,1,1,0,0,,2,2,1,1
a45b60e53917968f922b97c6f8aa8db3-unsat-set-b-fclqcolor-10-07-09.sat05-1282.reshuffled-07.cnf,26,6,6,6,,26,21,9,11
a4941208671f6ebfd118e4e563538c31-SCPC-1000-20.cnf,5,4,5,5,,9,14,6,14
a4b05fbc5be28207b704e1fae4b7c8a0-FileObject_open_12.cnf,61,28,31,33,,19,97,14,37
a552a058e6376a36b1f1b2724f228364-IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k40.debugged.cnf,5,6,6,6,,7,16,8,7
a64f3c1afd7e0f6165efbe9fc2fc8003-pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf,29,28,31,27,,2,17,86,24
a6d7268b35eec18656a85ad91b0413e9-php17-mixed-35percent-blocked.cnf,10,8,8,8,,14,15,10,17
a7a9ca7e06b6b1e979950ea96183d07d-rook-47-0-1.cnf,8,7,7,7,,13,14,11,13
a7bbcc6535cca5a37f015f29090e8797-grs-48-256.cnf,6,7,6,7,,12,13,12,12
a811388cc92def6ef2d639dc062d456c-ContextModel_output_6_3_8.bul_.dimacs.cnf,11,11,11,11,,7,14,8,8
a83665715cf54e10f6d5382b97fd909c-PRP_100_400.cnf,22,23,23,22,,25,45,24,24
a8dc92a9c0434576b47c82c94ab5c446-Grain_no_init_ver1_out200_known_last105_0_u.cnf,12,12,11,12,,14,14,16,17
a8dcaf436bda091dad9ca1ff58de7287-asconhashv12_opt64_H10_M2-BPHqhzNzqi_m5_6_U14.c.cnf,5,3,5,9,,4,35,3,3
a931fb0e1490883ee7719eab96ed558a-T87.2.0.cnf,2,2,2,2,,5,4,5,4
a98d77ba9d3fbe8b7c55cbf75b2b43a8-TableModel_output_6_3_8.bul_.dimacs.cnf,38,35,40,36,,3,179,3,3
a9d081cbb33e6051be2512f2a2269d65-hash_table_find_safety_size_20.cnf,1,1,0,0,,2,2,1,2
aa0d6b8c63f57956b9aed350f38e0571-intervals244.cnf,39,41,40,40,,34,61,42,41
aa4a861240c0c39b5aa44602133ae5e1-stb_418_125.apx_2_DC-ST.cnf,9,8,9,9,,9,25,10,10
abe802007c9aed4eab2e758fb130174b-mp1-klieber2017s-1600-022-eq.cnf,4,13,10,8,,2,34,9,7
accf33a84bdf211bebbd2111fb7f6b91-DivS_942_11.cnf.sanitized.cnf,2,3,2,3,,5,6,5,6
ad69e0a0880cd377e26260f7e4bc6d51-g2-T49.2.0.cnf,4,3,3,3,,7,7,7,7
ae7e391be73431e5dddf2bbafe95758a-WS_400_24_70_10.apx_2_DC-ST.cnf,9,9,9,9,,12,15,13,16
ae9522ea003ea9f75891b2d37a5e264b-srhd-sgi-m37-q446.25-n35-p30-s33692332.cnf,1,0,0,0,,1,0,0,0
ae9b7950ef1513068bb9339893ec8c50-WCNF_to_alien_14.cnf,50,36,35,36,,16,135,9,19
af1e84bc2ab44d87d1c4c0cbf9e601c5-posixpath_expanduser_14.cnf,53,32,37,35,,33,116,10,25
af3d5273605b21b9d4c56dd46cbf366a-SCPC-700-82.cnf,6,4,5,6,,4,16,3,5
af5838e83024d2dee3942be8d8e35fec-TableModel_output_8_4_8.bul_.dimacs.cnf,36,33,41,35,,4,142,4,9
b09585f2346c207e9e14a3daf0de46cf-CNF_to_alien_11.cnf,29,19,20,19,,11,60,7,18
b157aeb75aec9158fed9e16d7fd2da57-ContextModel_output_6_4_6.bul_.dimacs.cnf,17,16,17,16,,18,29,18,18
b2145c28dbed385329ea73a06d9c519a-LZMAFile___init___14.cnf,54,34,36,36,,24,117,13,31
b3840e295097a13e6697fff6be813eeb-php16-mixed-15percent-blocked.cnf,57,22,31,30,,35,97,10,32
b44611ea7852dd30215cc1cb09e1ab79-PRP_30_39.cnf,2,3,3,2,,6,13,6,6
b5b1803491a265b02d595c1fb62d5991-intervals802.cnf,39,37,38,39,,19,60,68,22
b5cede38496a803dcfa155a5f4295c47-SC23_Timetable_C_476_E_50_Cl_32_D_6_T_50.cnf,2,2,2,3,,2,9,2,3
b6c44ccb3174b7f0a69185b11de86cfa-grs-128-64.cnf,5,5,6,5,,9,11,9,9
b6c6f1081dbb672e8294685d03326b09-intervals80.cnf,42,41,40,40,,36,43,47,45
b86f2425cafeb1239d65bd529e372e02-ER_500_10_1.apx_1_DC-AD.cnf,33,29,31,30,,36,50,28,41
bab57c8799cb05c8c1757c60d4ebdefd-satcoin-genesis-UNSAT-17400.cnf,4,4,4,5,,11,12,11,12
bb8042839130ce5597c358c1955706ff-hash_table_find_safety_size_30.cnf,1,1,0,0,,2,2,2,1
bbf800109d039e117ed60593c185692c-ER_500_10_2.apx_1_DS-ST.cnf,36,30,32,32,,34,57,27,36
bc3a8bd47c5575c2f1b31882d28ee091-26_1.cnf,15,17,17,15,,20,16,26,25
bc7dc7a83b442a2bf4cf8cae3f0e0faa-hash_table_find_safety_size_18.cnf,1,1,0,0,,2,2,1,1
bca01a49805df3399a0438191019e417-SCPC-700-87.cnf,5,4,4,5,,10,36,7,14
bcd753d08904860fa93a794557185e04-SC23_Timetable_C_488_E_50_Cl_33_D_6_T_50.cnf,24,24,24,24,,24,39,24,27
bd0b055b890a9ace598a0c4aba40de30-sat-bench-trig-bhaskara.cnf,4,4,4,3,,6,10,7,7
bdc85226a8d910a8b7d6a8730c7a4572-PRP_40_40.cnf,3,3,3,3,,8,8,8,7
be5c82b97513a31e0b3bcc1c231018ad-asconhashv12_opt64_H15_M2-kwhXs2juqFoKAYA_m12_13_U16.c.cnf,7,8,11,9,,4,23,5,4
c0069efa0c924e416878d9426f1ef92e-SCPC-900-29.cnf,5,4,5,5,,13,25,8,14
c115ebeec47bb82fa7f9850a632ec94a-brent_71_0.25.cnf,1,1,0,0,,2,2,2,1
c1324a6876269ee93890e266fe214557-SCPC-800-50.cnf,5,4,5,5,,14,41,9,19
c1b5c3d1016de7baeb0ddb3a2ab2d891-SCPC-900-27.cnf,6,5,6,5,,14,40,9,20
c32f194ad850c944142c74514dfb3c5f-WCNFPlus_from_fp_13.cnf,43,39,38,38,,32,76,30,45
c40838cb3ed9babe51dc41185e70a3dd-hash_table_find_safety_size_11.cnf,1,0,0,0,,2,1,1,1
c7bf3517f47d583ae567de3db3708969-oisc-subrv-and-nested-14.cnf,2,1,1,1,,4,4,4,4
c9af5b23c87350f5d817acc9ca7b69bb-CNF_to_alien_12.cnf,60,29,32,31,,23,106,9,27
c9f7ca549a6773bea4628e2c66f597c6-brent_51_0.17.cnf,1,1,0,0,,2,2,2,2
caead0e04b6de4365822b25dfd55967f-preimage_80r_490m_160h_seed_150.cnf,4,3,3,3,,12,13,13,12
cbd0933002d6c4ea99ceb47bb0c3f4c9-em_11_3_4_cmp.cnf,4,3,4,3,,11,18,10,10
cd118ff851f95661b2a3adfc3e393c74-Schur_160_5_d34.cnf,24,25,25,24,,31,36,33,34
cd58fa8eba4046fd0a86642e1fe26cb9-intervals803.cnf,39,40,39,38,,34,58,37,39
cd86fbfd8b7e0d66ec5fe8fe85c014d3-mchess22-mixed-35percent-blocked.cnf,33,32,33,33,,32,48,33,32
cdd131110acc861a5a01fae6c4936c91-6g_6color_366_050_04.cnf,5,4,4,4,,6,7,7,7
ce49f590c98885f7ac95567f2b1e7dd5-CNP-5-1100.cnf,2,2,2,1,,4,5,4,5
cea96962ebd736646af54d950943d909-SCPC-800-41.cnf,5,4,5,4,,10,28,7,13
cfc53adcc8ed18ca161bb6f8bc02b237-asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,4,4,3,6,,4,25,3,4
d0364ea3e1680c6da7e982e6b0264af6-new-difficult-26-243-24-70.cnf,1,0,0,0,,1,0,0,0
d0fe6bf914469ca51675bac9078a2c0b-asconhashv12_opt64_H10_M2-pH7B6T6Vub_m6_7.c.cnf,2,1,2,4,,2,38,3,3
d17aa530bbd09452b0f32daf4ab9c8f0-tph8.cnf,44,46,42,45,,60,48,40,50
d1a62a8688c6c4fabd0dec3770ce40dd-qwh.40.560.shuffled-as.sat03-1654.cnf,1,1,1,0,,2,3,2,2
d1f4348ad66cae01386777daae51c024-eqspctbk14spwtcl14.cnf,18,20,18,18,,21,26,22,27
d3529338d35aa27e8024932d3b5f64b5-PRP_20_50.cnf,2,3,2,2,,5,6,5,6
d3daba681653ea969bedf0c4a2fdb947-ER_400_20_7.apx_1_DC-ST.cnf,8,8,8,8,,10,21,9,12
d46c3fc9e953d4f84e8a18e52e29e7b7-PRP_100_350.cnf,25,24,25,25,,25,46,25,25
d5efaaee0197822c2676e45bac5068b2-SC23_Timetable_C_484_E_50_Cl_33_D_6_T_50.cnf,2,2,2,3,,10,11,10,10
d60f56735dc8e89d7d91a01f4340df0c-baseballcover13with25_and3positions.cnf,8,8,8,7,,12,12,12,12
d6402b482a5dc102a5b09360689e2be8-jkkk-one-one-11-32-unsat.cnf,7,6,7,7,,9,12,9,14
d66ab8bce1b8979dbd26b3c220e817be-PRP_200_100.cnf,22,22,23,23,,28,28,28,28
d7f381cd99ca40ba3324c8cc03a54269-mchess16-mixed-25percent-blocked.cnf,7,5,7,6,,10,7,28,8
d84a89fb1bc1ff37dc4737867257b290-SCPC-800-49.cnf,11,8,9,9,,8,29,6,12
d89718e39ff99638c2882b47988120cd-brent_63_0.1.cnf,1,0,0,0,,1,1,1,1
d89f0a7a08f9b60579b26b01e2196394-intervals467.cnf,38,40,39,39,,34,41,46,42
d8f131a86243ef138af39abf52a479e5-SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,4,4,4,4,,5,8,5,5
d8fa4265b93d0931ba6484e3cc0d7ab1-brent_13_0.1.cnf,12,12,12,12,,17,17,17,19
da43a3ef0ef5d34143e765d480dedc7a-DivU_624_11.cnf.sanitized.cnf,1,2,2,2,,4,5,5,5
db4a0d4ba26c46d66ad6cdcb0645a4d9-WS_500_16_70_10.apx_2_DC-ST.cnf,7,7,6,6,,8,16,9,8
dbe18c99e95ac42816b99b96d36a8732-grs-32-256.cnf,8,8,8,8,,12,13,12,12
dd169198070f9aa35015de65e8209a05-LZMAFile_write_12.cnf,58,30,33,35,,23,92,14,38
dd6ef995af0267ce71076250a1226801-intervals313.cnf,43,42,42,41,,32,59,48,45
ddd3b43476c18cf483aac233d4dc1c68-PRP_20_40.cnf,3,2,2,2,,4,4,3,4
deef4e5f8bf88393cea9589dff97d70c-ContextModel_output_8_4_8.bul_.dimacs.cnf,17,16,17,17,,19,30,19,20
df237594dc22b8f7cad2c4b38a23e40c-17_0.cnf,18,17,16,17,,19,21,26,24
e444548857eaf649c4624e3494c89c8e-asconhashv12_opt64_H8_M2-bL4cM6NJ_m4_5_U14.c.cnf,3,3,4,11,,4,4,3,39
e46bdd62b3789b64f7fbb3bd6c99484e-intervals727.cnf,41,40,41,40,,39,47,41,42
e51a98d78f61103e0672579e87cfd7e5-satcoin-genesis-UNSAT-11400.cnf,4,4,4,4,,10,11,11,11
e5a72ac8f4880702a4deacc7854318e8-hash_table_find_safety_size_19.cnf,1,1,0,0,,2,2,1,2
e6d247292b525447a220323901842e4c-or_randxor_k3_n540_m540.cnf,24,23,24,24,,30,37,31,31
e966bddd11e46b735f8520f8304e368e-SC23_Timetable_C_483_E_50_Cl_33_D_6_T_50.cnf,1,1,1,1,,2,3,3,2
ea5b47b3ffb3b8cb77a2cff83cc1ffba-PRP_100_500.cnf,23,22,23,23,,23,45,24,24
eaf2f0803dd2045f1b189ee834ef0c8f-rphp_p8_r250.cnf,32,33,32,31,,38,33,36,38
eca3692344e30ae83a49158b5baf3372-brent_65_0.1.cnf,1,0,0,0,,1,1,1,0
ed76b075cdf07435c6e4f6203dd10cb7-SCPC-700-88.cnf,7,5,7,7,,10,28,6,13
eec821f866557886a5b0352332943fa2-SCPC-700-81.cnf,3,2,3,3,,15,45,9,18
eecdcc36d35f06224cc972cbb08de804-SCPC-1000-18.cnf,5,4,4,4,,10,14,6,11
f02379d63678798e38dcc52b043cc51d-asconhashv12_opt64_H13_M2-axxJh7DAq767y_m4_5.c.cnf,3,3,3,4,,4,4,4,47
f0895a5904fb97278b7b54733ee1dabb-brent_63_0.22.cnf,2,2,2,2,,2,2,2,2
f08b3567642ea029452fff2c1d10c132-brent_15_0.25.cnf,16,16,16,16,,19,32,19,19
f090d0d6eaff3b92c817f5db6fa47544-intervals718.cnf,41,40,40,40,,33,47,47,42
f20c2aa0f9cced05a74031e0a3afaa1a-SC23_Timetable_C_473_E_50_Cl_32_D_6_T_50.cnf,1,1,1,0,,3,4,4,3
f26f199564d6ffac7e700c2e66470ec0-TableSymModel_output_6_4_6.bul_.dimacs.cnf,31,30,30,29,,38,39,35,37
f35ed23733431177436a1e7797c07dfe-SCPC-900-31.cnf,17,11,13,14,,9,30,7,14
f4064d73fd6e69caf154046e61fea7b8-cliquecoloring_n18_k7_c6.cnf,48,47,48,47,,47,59,39,53
f448874997bae64bd455fb00309dc738-asconhashv12_opt64_H7_M2-OrF8zEw_m2_4.c.cnf,2,2,2,4,,2,3,24,2
f55acea8f0d207becbbbd26a11d97841-grs-48-160.cnf,6,7,7,7,,10,11,11,11
f57aba96bfed8f8a8b860eba1a8f1ea5-TableModel_output_6_4_6.bul_.dimacs.cnf,36,32,37,34,,5,147,4,5
f88afbcd8b4c29a8c1b3518caa4e949c-cliquecoloring_n16_k7_c6.cnf,47,46,46,47,,48,54,41,50
f959755d7c68ea8b64d900e589fbe21f-g2-slp-synthesis-aes-top29.cnf,3,3,3,3,,2,3,3,3
fab0db1ab0dd5baa3215aab51ab69355-brent_63_0.2.cnf,1,1,0,0,,2,6,2,1
faeb113864d97ea4cb3f01f95d2fe92f-SCPC-800-44.cnf,4,3,4,4,,10,34,7,14
fb5d0254bc4b8d258eb84ea1dbcdda13-mchess22-mixed-25percent-blocked.cnf,33,34,33,32,,34,42,34,35
fd1fbc1b090c14746a883b3a17259743-9vliw_bp_mc.shuffled.cnf,2,2,2,2,,4,5,4,5
fd2af7622798171f23a4b8d2616df55e-StreamReader_readline_13.cnf,58,32,33,33,,27,116,11,25
fdc5aa7c150fd1c49ad3b50433277528-PRP_100_300.cnf,22,23,23,22,,24,46,25,25
fdfcd52a21824b7181d66672f283ba04-instance_n6_i6_pp_ci_ce.cnf,1,1,0,0,,2,1,2,2
fe19a31b76cbba5901e16ce36c7578ed-C208_FA_UT_3254.cnf,1,0,0,0,,1,0,0,0
fe8b1ef742724947620a419d0180a640-mchess18-mixed-35percent-blocked.cnf,15,15,16,16,,19,26,20,21
fee70cede2b5b55bfbdb6e48fbe7ce4f-DLTM_twitter690_74_16.cnf,3,2,2,3,,7,9,8,7
ff5170c690129f8c94658e82b6aab05c-Urquhart-s5-b4.shuffled.cnf,79,74,74,87,,220,26,27,26
ff867fd35aa52058382a8b0c21cd1f38-mchess20-mixed-35percent-blocked.cnf,33,31,32,32,,34,34,33,35
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
